epoch,total_loss,ce_loss,sp_loss,val_accuracy,val_sparsity,elapsed_s
1,1.8182541165510406,1.8132538902180275,0.5000225781174876,0.4348,0.0,11.18
2,1.6567536738827406,1.6517535527343945,0.5000142220341032,0.4544,0.0,11.11
3,1.6081057914992427,1.6031056770583247,0.5000103609946073,0.4726,0.0,11.13
4,1.5780613629714302,1.5730612488353954,0.5000086682836723,0.4904,0.0,11.07
5,1.55006204358757,1.545061929146652,0.5000083573029169,0.4973,0.0,11.13
6,1.5307939171486193,1.5257938027077014,0.5000083888583171,0.4988,0.0,11.11
7,1.515379336788831,1.510379222347913,0.500007995406685,0.4983,0.0,11.15
8,1.500055340854713,1.495055226413795,0.5000084207186004,0.512,0.0,11.13
9,1.4883084623405085,1.4833083478995905,0.5000083396196975,0.5208,0.0,11.15
10,1.4743105179208624,1.4693104034799445,0.5000088980130832,0.5215,0.0,11.18
11,1.46282061134153,1.457820496900612,0.5000090646316938,0.5235,0.0,11.05
12,1.4442290305481542,1.4392289161072362,0.5000097545821344,0.5306,0.0,11.12
13,1.4355076273993763,1.4305075129584583,0.5000102500171613,0.5354,0.0,11.08
14,1.4200518426992703,1.4150517282583523,0.5000107244152547,0.5414,0.0,11.16
15,1.4109393208837875,1.4059392064428695,0.5000109968282987,0.5429,0.0,11.12
16,1.395188240748842,1.390188126307924,0.5000119160508256,0.552,0.0,11.15
17,1.3783976928047512,1.3733975783638332,0.5000125784093462,0.5529,0.0,11.16
18,1.3673729789836326,1.3623728645427147,0.500013292140668,0.5535,0.0,11.01
19,1.35978773853663,1.354787624095712,0.500013977212979,0.5615,0.0,11.16
20,1.3411498374646278,1.3361497230237098,0.5000148290563422,0.5636,0.0,11.06
21,1.3357946881857674,1.3307945737448494,0.500015669619031,0.5717,0.0,12.98
22,1.320911414178131,1.315911299737213,0.5000162025546784,0.5687,0.0,11.24
23,1.3070290814275327,1.3020289310104096,0.5000172283338464,0.575,0.0,11.15
24,1.2962007339653152,1.2912005070225356,0.5000178405390981,0.5809,0.0,11.1
25,1.285381973247089,1.2803817395968815,0.5000185708865486,0.5811,0.0,11.53
26,1.2827857144348456,1.277785480784638,0.5000196010865214,0.5839,0.0,11.32
27,1.2704258297410462,1.2654255960908387,0.5000200126786976,0.5871,0.0,11.36
28,1.2717788330734234,1.266778599728099,0.5000203721358648,0.5879,0.0,11.22
29,1.2647786280688118,1.2597783944186043,0.5000206553722586,0.5884,0.0,11.1
30,1.2638868026416321,1.2588865689914246,0.5000208183322721,0.5891,0.0,11.2
